date,fuel,nat_avg,nat_min,nat_max,n_stations
2023-08-07,gpl,0.7085,,,
2023-08-14,diesel,1.8277,,,
2023-08-14,benzina,1.9391,,,
2023-08-14,gpl,0.7099,,,
2023-08-21,diesel,1.8453,,,
2023-08-21,benzina,1.9462,,,
2023-08-21,gpl,0.7158,,,
2023-08-28,diesel,1.8473,,,
2023-08-28,benzina,1.9477,,,
2023-08-28,gpl,0.7092,,,
2023-09-04,diesel,1.8556,,,
2023-09-04,benzina,1.9545,,,
2023-09-04,gpl,0.7073,,,
2023-09-11,diesel,1.8767,,,
2023-09-11,benzina,1.9696,,,
2023-09-11,gpl,0.7120,,,
2023-09-18,diesel,1.9240,,,
2023-09-18,benzina,1.9973,,,
2023-09-18,gpl,0.7148,,,
2023-09-25,diesel,1.9382,,,
2023-09-25,benzina,2.0019,,,
2023-09-25,gpl,0.7158,,,
2023-10-02,diesel,1.9321,,,
2023-10-02,benzina,1.9916,,,
2023-10-02,gpl,0.7160,,,
2023-10-09,diesel,1.9216,,,
2023-10-09,benzina,1.9627,,,
2023-10-09,gpl,0.7212,,,
2023-10-16,diesel,1.8973,,,
2023-10-16,benzina,1.9187,,,
2023-10-16,gpl,0.7232,,,
2023-10-23,diesel,1.8837,,,
2023-10-23,benzina,1.8955,,,
2023-10-23,gpl,0.7240,,,
2023-10-30,diesel,1.8653,,,
2023-10-30,benzina,1.8728,,,
2023-10-30,gpl,0.7253,,,
2023-11-06,diesel,1.8477,,,
2023-11-06,benzina,1.8542,,,
2023-11-06,gpl,0.7278,,,
2023-11-13,diesel,1.8243,,,
2023-11-13,benzina,1.8350,,,
2023-11-13,gpl,0.7258,,,
2023-11-20,diesel,1.7965,,,
2023-11-20,benzina,1.8157,,,
2023-11-20,gpl,0.7264,,,
2023-11-27,diesel,1.7854,,,
2023-11-27,benzina,1.8053,,,
2023-11-27,gpl,0.7243,,,
2023-12-04,diesel,1.7734,,,
2023-12-04,benzina,1.7971,,,
2023-12-04,gpl,0.7250,,,
2023-12-11,diesel,1.7537,,,
2023-12-11,benzina,1.7801,,,
2023-12-11,gpl,0.7260,,,
2023-12-18,diesel,1.7321,,,
2023-12-18,benzina,1.7659,,,
2023-12-18,gpl,0.7159,,,
2023-12-25,diesel,1.7321,,,
2023-12-25,benzina,1.7659,,,
2023-12-25,gpl,0.7159,,,
2024-01-01,diesel,1.7307,,,
2024-01-01,benzina,1.7720,,,
2024-01-01,gpl,0.7267,,,
2024-01-08,diesel,1.7305,,,
2024-01-08,benzina,1.7737,,,
2024-01-08,gpl,0.7286,,,
2024-01-15,diesel,1.7245,,,
2024-01-15,benzina,1.7689,,,
2024-01-15,gpl,0.7197,,,
2024-01-22,diesel,1.7341,,,
2024-01-22,benzina,1.7778,,,
2024-01-22,gpl,0.7185,,,
2024-01-29,diesel,1.7669,,,
2024-01-29,benzina,1.8119,,,
2024-01-29,gpl,0.7174,,,
2024-02-05,diesel,1.7856,,,
2024-02-05,benzina,1.8267,,,
2024-02-05,gpl,0.7181,,,
2024-02-12,diesel,1.8015,,,
2024-02-12,benzina,1.8400,,,
2024-02-12,gpl,0.7234,,,
2024-02-19,diesel,1.8326,,,
2024-02-19,benzina,1.8639,,,
2024-02-19,gpl,0.7246,,,
2024-02-26,diesel,1.8264,,,
2024-02-26,benzina,1.8590,,,
2024-02-26,gpl,0.7241,,,
2024-03-04,diesel,1.8127,,,
2024-03-04,benzina,1.8520,,,
2024-03-04,gpl,0.7235,,,
2024-03-11,diesel,1.8007,,,
2024-03-11,benzina,1.8527,,,
2024-03-11,gpl,0.7218,,,
2024-03-18,diesel,1.7900,,,
2024-03-18,benzina,1.8514,,,
2024-03-18,gpl,0.7218,,,
2024-03-25,diesel,1.8007,,,
2024-03-25,benzina,1.8772,,,
2024-03-25,gpl,0.7215,,,
2024-04-01,diesel,1.7931,,,
2024-04-01,benzina,1.8872,,,
2024-04-01,gpl,0.7233,,,
2024-04-08,diesel,1.7988,,,
2024-04-08,benzina,1.9008,,,
2024-04-08,gpl,0.7229,,,
2024-04-15,diesel,1.8069,,,
2024-04-15,benzina,1.9137,,,
2024-04-15,gpl,0.7210,,,
2024-04-22,diesel,1.8025,,,
2024-04-22,benzina,1.9205,,,
2024-04-22,gpl,0.7206,,,
2024-04-29,diesel,1.7899,,,
2024-04-29,benzina,1.9146,,,
2024-04-29,gpl,0.7223,,,
2024-05-06,diesel,1.7752,,,
2024-05-06,benzina,1.9123,,,
2024-05-06,gpl,0.7218,,,
2024-05-13,diesel,1.7533,,,
2024-05-13,benzina,1.8986,,,
2024-05-13,gpl,0.7201,,,
2024-05-20,diesel,1.7333,,,
2024-05-20,benzina,1.8829,,,
2024-05-20,gpl,0.7193,,,
2024-05-27,diesel,1.7224,,,
2024-05-27,benzina,1.8739,,,
2024-05-27,gpl,0.7178,,,
2024-06-03,diesel,1.7109,,,
2024-06-03,benzina,1.8651,,,
2024-06-03,gpl,0.7167,,,
2024-06-10,diesel,1.6950,,,
2024-06-10,benzina,1.8507,,,
2024-06-10,gpl,0.7151,,,
2024-06-17,diesel,1.6943,,,
2024-06-17,benzina,1.8444,,,
2024-06-17,gpl,0.7147,,,
2024-06-24,diesel,1.7158,,,
2024-06-24,benzina,1.8456,,,
2024-06-24,gpl,0.7130,,,
2024-07-01,diesel,1.7375,,,
2024-07-01,benzina,1.8597,,,
2024-07-01,gpl,0.7127,,,
2024-07-08,diesel,1.7517,,,
2024-07-08,benzina,1.8715,,,
2024-07-08,gpl,0.7195,,,
2024-07-15,diesel,1.7510,,,
2024-07-15,benzina,1.8698,,,
2024-07-15,gpl,0.7233,,,
2024-07-22,diesel,1.7424,,,
2024-07-22,benzina,1.8622,,,
2024-07-22,gpl,0.7225,,,
2024-07-29,diesel,1.7306,,,
2024-07-29,benzina,1.8515,,,
2024-07-29,gpl,0.7214,,,
2024-08-05,diesel,1.7172,,,
2024-08-05,benzina,1.8386,,,
2024-08-05,gpl,0.7209,,,
2024-08-12,diesel,1.7052,,,
2024-08-12,benzina,1.8280,,,
2024-08-12,gpl,0.7209,,,
2024-08-19,diesel,1.6984,,,
2024-08-19,benzina,1.8221,,,
2024-08-19,gpl,0.7292,,,
2024-08-26,diesel,1.6842,,,
2024-08-26,benzina,1.8110,,,
2024-08-26,gpl,0.7229,,,
2024-09-02,diesel,1.6681,,,
2024-09-02,benzina,1.7958,,,
2024-09-02,gpl,0.7212,,,
2024-09-09,diesel,1.6555,,,
2024-09-09,benzina,1.7823,,,
2024-09-09,gpl,0.7212,,,
2024-09-16,diesel,1.6357,,,
2024-09-16,benzina,1.7594,,,
2024-09-16,gpl,0.7222,,,
2024-09-23,diesel,1.6222,,,
2024-09-23,benzina,1.7430,,,
2024-09-23,gpl,0.7223,,,
2024-09-30,diesel,1.6155,,,
2024-09-30,benzina,1.7348,,,
2024-09-30,gpl,0.7221,,,
2024-10-07,diesel,1.6124,,,
2024-10-07,benzina,1.7314,,,
2024-10-07,gpl,0.7244,,,
2024-10-14,diesel,1.6400,,,
2024-10-14,benzina,1.7575,,,
